independent,unMember,capital_code,region_code,subregion_code,language_code,latitude,longitude,landlocked,area,population,borders_count,car_side_code,timezones_count,continents_code,startOfWeek_code
1,1,100,2,14,60,52.0,20.0,0,312679.0,37950802,7,1,1,2,1
0,0,95,4,7,61,54.4208,3.3464,0,49.0,0,0,1,1,4,1
0,0,95,4,7,62,-90.0,0.0,0,14000000.0,1000,0,1,8,4,1
1,1,101,5,10,7,38.0,-97.0,0,9372610.0,329484123,2,1,11,6,2
1,1,102,1,1,7,-15.0,30.0,1,752612.0,18383956,8,2,1,1,1
1,1,103,3,22,63,1.41666666,173.0,0,811.0,119446,0,2,3,3,1
1,1,104,5,8,64,-10.0,-76.0,0,1285216.0,32971846,5,1,1,5,1
1,1,105,5,8,10,-33.0,-56.0,0,181034.0,3473727,2,1,1,5,1
0,0,106,5,12,7,18.25,-63.16666666,0,91.0,13452,0,2,1,6,1
1,1,107,6,24,65,32.0,53.0,0,1648195.0,83992953,7,1,1,7,3
1,1,108,5,13,10,13.83333333,-88.91666666,0,21041.0,6486201,2,1,1,6,1
1,1,109,2,14,66,47.0,20.0,1,93028.0,9749763,7,1,1,2,1
1,1,110,3,23,42,-13.58333333,-172.33333333,0,2842.0,198410,0,2,1,3,1
1,1,111,5,8,10,-2.0,-77.5,0,276841.0,17643060,2,1,2,5,1
1,1,112,2,9,6,46.0,2.0,0,551695.0,67391582,8,1,14,2,1
1,1,113,1,6,7,10.0,8.0,0,923768.0,206139587,4,1,1,1,1
1,1,114,6,24,67,20.0,77.0,0,3287590.0,1380004385,6,2,1,7,1
0,0,115,5,12,6,18.0708,-63.0501,0,53.0,38659,1,1,1,6,1
1,1,116,1,6,6,13.0,-2.0,1,272967.0,20903278,6,1,1,1,1
1,1,117,6,11,68,33.0,44.0,0,438317.0,40222503,6,1,1,7,2
1,1,118,6,11,5,29.5,45.75,0,17818.0,4270563,2,1,1,7,2
1,1,119,2,14,69,49.75,15.5,1,78865.0,10698896,4,1,1,2,1
0,0,120,5,12,7,16.75,-62.2,0,102.0,4922,0,2,1,6,1
1,1,121,1,5,70,32.0,-5.0,0,446550.0,36910558,3,1,1,1,1
0,0,122,3,4,6,-21.5,165.5,0,18575.0,271960,0,1,1,3,1
1,1,123,1,6,7,13.46666666,-16.56666666,0,10689.0,2416664,1,1,1,1,1
1,1,124,2,9,19,52.5,5.75,0,41850.0,16655799,2,1,1,2,1
0,0,125,5,10,6,46.83333333,-56.33333333,0,242.0,6069,0,1,1,6,1
0,0,126,5,12,6,18.5,-63.41666666,0,21.0,4255,0,1,1,6,1
0,0,127,6,21,71,22.267,114.188,0,1104.0,7500700,1,2,1,7,1
1,1,128,6,21,36,35.0,105.0,0,9706961.0,1402112000,16,1,1,7,1
1,1,129,2,20,72,49.0,32.0,0,603500.0,44134693,7,1,1,2,1
1,1,130,1,15,73,-22.0,24.0,1,582000.0,2351625,4,2,1,1,1
0,0,131,5,12,26,12.116667,-68.933333,0,444.0,155014,0,1,1,6,1
1,1,132,2,3,74,44.0,21.0,1,88361.0,6908224,8,1,1,2,1
